"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Male,high school,Not Specified,Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Orthopedic,No,Within a day,maybe,maybe,no,maybe,41-60,Male,high school,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,graduate,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Neurologist,No,Within a day,no,no,no,maybe,26-40,Male,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",No response
Physician,No,Within a day,maybe,no,no,no,26-40,Female,high school,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
"ENT (Ear, Nose, and Throat specialist)",No,Immediately,yes,yes,no,yes,26-40,Male,graduate,"4,00,001 - 6,00,000",Hospital,Delayed,Doctor /Specialist,General Awareness,Other,other
Orthopedic,Yes,Immediately,yes,maybe,maybe,maybe,Other,Female,other,Not Specified,Doctor,Delayed,Doctor /Specialist,Vision Problems,Other,No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,26-40,Female,other,"2,00,001 - 4,00,000",Hospital,Immediate,Hospital /Medical Centre,Multiple Symptoms / Aware,"BP / Heart, Diabetes / Obesity, Unaware",other
Neurologist,Yes,Immediately,yes,yes,yes,yes,26-40,Female,graduate,"2,00,001 - 4,00,000",Hospital,Immediate,Other,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",rest_safety
Physician,No,Within a day,maybe,no,no,maybe,Other,Male,high school,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Orthopedic,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,Not Specified,Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Neurologist,Yes,Within a day,yes,yes,yes,yes,26-40,Female,high school,Not Specified,Doctor,Immediate,Hospital /Medical Centre,"Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Age / Family / Gender, Unaware",emergency
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Male,graduate,"4,00,001 - 6,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness","BP / Heart, Diabetes / Obesity, Age / Family / Gender, Unaware",No response
Physician,Yes,Within a day,yes,yes,yes,yes,Other,Male,other,Not Specified,Doctor,Immediate,Hospital /Medical Centre,"Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",rest_safety
Neurologist,No,Within a day,no,no,maybe,maybe,26-40,Female,high school,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Within a day,yes,yes,yes,yes,Other,Female,high school,Not Specified,Emergency Services,Immediate,Doctor /Specialist,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Age / Family / Gender, Unaware",No response
Physician,Yes,Within a day,yes,yes,yes,yes,15-25,Male,undergraduate,Not Specified,Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems","BP / Heart, Diabetes / Obesity, Age / Family / Gender, Unaware",No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,"4,00,001 - 6,00,000",Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
"ENT (Ear, Nose, and Throat specialist)",No,Within a day,no,no,no,no,15-25,Male,undergraduate,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Orthopedic,Yes,Within a day,yes,yes,yes,yes,15-25,Male,undergraduate,Not Specified,Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,41-60,Female,graduate,"4,00,001 - 6,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Age / Family / Gender, Unaware",No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,15-25,Female,graduate,"2,00,001 - 4,00,000",Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Smoking / Alcohol / Drugs, Age / Family / Gender",No response
"ENT (Ear, Nose, and Throat specialist)",Yes,Immediately,yes,yes,yes,yes,41-60,Male,other,"6,00,001 - 8,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,26-40,Male,speciality,"4,00,001 - 6,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",emergency
Physician,No,Within a week,maybe,no,no,maybe,41-60,Female,graduate,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a week,no,maybe,maybe,maybe,15-25,Female,high school,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,41-60,Male,high school,Not Specified,Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Orthopedic,No,Within a day,no,maybe,maybe,no,Other,Male,high school,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,Not Specified,Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",calm_reassure
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Male,other,"Above 8,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Age / Family / Gender, Unaware",No response
Physician,No,Immediately,yes,yes,yes,yes,41-60,Female,high school,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,yes,yes,yes,yes,26-40,Male,other,"Above 8,00,000",Hospital,Immediate,Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Age / Family / Gender, Unaware",No response
"ENT (Ear, Nose, and Throat specialist)",Yes,Immediately,yes,yes,yes,yes,41-60,Male,graduate,"4,00,001 - 6,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",rest_safety
Physician,No,Within a day,maybe,maybe,maybe,maybe,26-40,Male,graduate,"6,00,001 - 8,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Orthopedic,No,Within a day,maybe,no,no,maybe,Other,Male,graduate,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
"ENT (Ear, Nose, and Throat specialist)",No,Within a day,maybe,maybe,no,maybe,41-60,Male,high school,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,26-40,Female,high school,Not Specified,Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","Diabetes / Obesity, Smoking / Alcohol / Drugs",other
"ENT (Ear, Nose, and Throat specialist)",No,Within a day,maybe,maybe,maybe,maybe,Other,Male,high school,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a day,no,maybe,no,maybe,Other,Male,high school,Not Specified,Unaware,Not answered,No Response,Unaware,Unaware,No response
"ENT (Ear, Nose, and Throat specialist)",Yes,Immediately,yes,yes,yes,yes,Other,Female,graduate,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","Diabetes / Obesity, Smoking / Alcohol / Drugs",other
Neurologist,Yes,Immediately,yes,yes,yes,yes,26-40,Male,high school,Not Specified,Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",other
Physician,No,Within a day,yes,yes,yes,yes,41-60,Female,graduate,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a day,maybe,maybe,no,maybe,41-60,Female,high school,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,26-40,Male,graduate,"4,00,001 - 6,00,000",Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",other
Physician,Yes,Immediately,yes,yes,yes,yes,15-25,Male,undergraduate,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",emergency
Physician,No,Within a day,maybe,maybe,no,no,Other,Female,high school,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,Not Specified,Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,41-60,Male,graduate,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Physician,No,Immediately,maybe,maybe,maybe,maybe,41-60,Female,other,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a day,no,no,maybe,no,26-40,Female,other,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,no,no,no,no,15-25,Male,high school,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
"ENT (Ear, Nose, and Throat specialist)",Yes,Immediately,yes,yes,yes,yes,26-40,Male,graduate,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness","Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Neurologist,No,Immediately,yes,yes,yes,yes,41-60,Female,high school,Not Specified,Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Smoking / Alcohol / Drugs, Age / Family / Gender",No response
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,41-60,Male,graduate,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,26-40,Male,high school,"2,00,001 - 4,00,000",Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Orthopedic,No,Within a day,maybe,maybe,maybe,maybe,15-25,Male,high school,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,high school,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",emergency
Neurologist,Yes,Immediately,yes,yes,yes,yes,15-25,Male,graduate,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",No response
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Paralysis / Weakness, Vision Problems, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",No response
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Male,high school,"4,00,001 - 6,00,000",Emergency Services,Immediate,Doctor /Specialist,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Physician,No,Within a week,no,maybe,maybe,maybe,15-25,Male,high school,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
