"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms,score_specialist,score_know_stroke,score_confusion,score_numbness,score_vision,score_nosebleed,score_urgency,score_location,total_raw_score,awareness_score
Physician,Yes,Immediately,yes,yes,yes,yes,60+,Female,graduate,"4,00,001 - 6,00,000",Hospital,Immediate,Hospital /Medical Centre,Paralysis / Weakness,Other,Seek Medical Help,0,1,1,1,1,0,0,3,32,5.08
Physician,No,Immediately,yes,yes,yes,yes,60+,Male,high school,"Above 8,00,000",Family/Friend,After Checkup  or medical tests,Hospital /Medical Centre,Unaware,Unaware,No response,0,0,1,1,1,0,0,3,27,4.29
Physician,No,Within a day,maybe,maybe,maybe,maybe,26-40,Female,high school,Not Specified,Doctor,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response,0,0,0,0,0,1,0,3,17,2.7
Physician,No,Within a day,maybe,maybe,maybe,maybe,26-40,Female,high school,Not Specified,Family/Friend,Immediate,Hospital /Medical Centre,Unaware,Unaware,Unaware / No Idea,0,0,0,0,0,1,0,3,17,2.7
Physician,Yes,Within a day,yes,yes,yes,yes,60+,Male,high school,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Neurologist,No,Immediately,no,no,no,no,41-60,Male,graduate,Not Specified,Family/Friend,Unaware,Hospital /Medical Centre,Unaware,Unaware,Seek Medical Help,4,0,0,0,0,2,0,3,31,4.92
Physician,Yes,Immediately,yes,yes,yes,yes,60+,Female,graduate,"4,00,001 - 6,00,000",Emergency Services,Immediate,Emergency Services,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",other,0,1,1,1,1,0,0,0,17,2.7
Physician,No,Within a week,maybe,maybe,maybe,maybe,26-40,Female,high school,Not Specified,Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,1,0,0,2,0.32
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Male,high school,"4,00,001 - 6,00,000",Doctor,After Checkup  or medical tests,Hospital /Medical Centre,"Speech / Confusion, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender",Seek Medical Help,0,1,1,1,1,0,0,3,32,5.08
Physician,No,Within a day,no,no,no,no,41-60,Male,high school,"2,00,001 - 4,00,000",Family/Friend,Unaware,Unknown /No Response,Unaware,Unaware,Unaware / No Idea,0,0,0,0,0,2,0,0,4,0.63
Physician,No,Immediately,yes,yes,yes,yes,60+,Male,graduate,"Above 8,00,000",Family/Friend,Unaware,Hospital /Medical Centre,Unaware,Unaware,Unaware / No Idea,0,0,1,1,1,0,0,3,27,4.29
Neurologist,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,"2,00,001 - 4,00,000",Hospital,Immediate,Hospital /Medical Centre,Paralysis / Weakness,Other,Seek Medical Help,4,1,1,1,1,0,0,3,44,6.98
"ENT (Ear, Nose, and Throat specialist)",No,Immediately,no,no,no,no,41-60,Female,high school,"2,00,001 - 4,00,000",Family/Friend,After Checkup  or medical tests,Hospital /Medical Centre,Unaware,Unaware,No response,2,0,0,0,0,2,0,3,25,3.97
Neurologist,No,Within a day,yes,yes,yes,yes,60+,Female,high school,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,Unaware,Unaware,Unaware / No Idea,4,0,1,1,1,0,0,3,39,6.19
Orthopedic,Yes,Within a day,yes,yes,yes,yes,41-60,Female,high school,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Male,high school,"4,00,001 - 6,00,000",Emergency Services,Immediate,Emergency Services,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",other,0,1,1,1,1,0,0,0,17,2.7
Physician,No,Immediately,no,no,no,no,41-60,Male,graduate,"4,00,001 - 6,00,000",Family/Friend,Unaware,Hospital /Medical Centre,Unaware,Unaware,Unaware / No Idea,0,0,0,0,0,2,0,3,19,3.02
Physician,No,Within a day,maybe,maybe,maybe,maybe,26-40,Male,high school,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response,0,0,0,0,0,1,0,3,17,2.7
Neurologist,No,Immediately,yes,yes,yes,yes,60+,Female,high school,"2,00,001 - 4,00,000",Unknown,Unknown,Hospital /Medical Centre,Unaware,Unaware,No response,4,0,1,1,1,0,0,3,39,6.19
Neurologist,No,Within a day,maybe,maybe,maybe,maybe,26-40,Female,high school,"2,00,001 - 4,00,000",Unknown,Immediate,Unknown /No Response,Unaware,Unaware,other,4,0,0,0,0,1,0,0,14,2.22
Physician,Yes,Immediately,yes,yes,yes,yes,60+,Female,high school,"Above 8,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",Call Emergency Services,0,1,1,1,1,0,0,3,32,5.08
Neurologist,No,Within a day,yes,yes,yes,yes,60+,Male,high school,"4,00,001 - 6,00,000",Emergency Services,after few days (2-3days or week),Hospital /Medical Centre,Unaware,Unaware,No response,4,0,1,1,1,0,0,3,39,6.19
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,high school,"4,00,001 - 6,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,No,Within a day,no,no,no,no,41-60,Male,other,"6,00,001 - 8,00,000",Doctor,Immediate,Hospital /Medical Centre,Unaware,Unaware,Unaware / No Idea,0,0,0,0,0,2,0,3,19,3.02
Physician,No,Immediately,yes,yes,yes,yes,60+,Female,high school,"6,00,001 - 8,00,000",Family/Friend,Unaware,Hospital /Medical Centre,Unaware,Unaware,No response,0,0,1,1,1,0,0,3,27,4.29
Physician,No,Immediately,no,no,no,no,15-25,Female,graduate,"Below 2,00,000",Doctor,Unaware,Doctor /Specialist,,Other,other,0,0,0,0,0,2,0,0,4,0.63
Orthopedic,No,Immediately,no,no,no,no,41-60,Female,high school,Not Specified,Unknown,Unknown,Hospital /Medical Centre,Unaware,Unaware,No response,0,0,0,0,0,2,0,3,19,3.02
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,graduate,Not Specified,Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",Call Emergency Services,0,1,1,1,1,0,0,3,32,5.08
Physician,No,Within a day,no,no,no,no,41-60,Male,high school,Not Specified,Emergency Services,after few days (2-3days or week),Hospital /Medical Centre,Unaware,Unaware,No response,0,0,0,0,0,2,0,3,19,3.02
Physician,No,Immediately,no,no,no,no,41-60,Male,high school,Not Specified,Family/Friend,Unaware,Hospital /Medical Centre,Unaware,Unaware,No response,0,0,0,0,0,2,0,3,19,3.02
Physician,No,Immediately,no,no,no,no,41-60,Female,high school,Not Specified,Hospital,after few days (2-3days or week),Hospital /Medical Centre,Unaware,Unaware,No response,0,0,0,0,0,2,0,3,19,3.02
Physician,No,Immediately,yes,yes,yes,yes,26-40,Male,high school,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,0,1,1,1,0,0,3,27,4.29
Physician,No,Within a day,no,no,no,no,41-60,Male,graduate,"4,00,001 - 6,00,000",Family/Friend,after few days (2-3days or week),Hospital /Medical Centre,Unaware,Unaware,No response,0,0,0,0,0,2,0,3,19,3.02
Neurologist,Yes,Within a day,yes,yes,yes,yes,60+,Female,high school,"Below 2,00,000",Family/Friend,Immediate,Emergency Services,"Speech / Confusion, Paralysis / Weakness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender",Seek Medical Help,4,1,1,1,1,0,0,0,29,4.6
Neurologist,No,Immediately,no,no,no,no,41-60,Male,high school,"4,00,001 - 6,00,000",Family/Friend,after few days (2-3days or week),Other,Unaware,Unaware,No response,4,0,0,0,0,2,0,0,16,2.54
Physician,No,Within a day,maybe,maybe,maybe,maybe,26-40,Male,high school,Not Specified,Doctor,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response,0,0,0,0,0,1,0,3,17,2.7
Neurologist,Yes,Within a day,yes,yes,yes,yes,26-40,Female,high school,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",Seek Medical Help,4,1,1,1,1,0,0,3,44,6.98
Orthopedic,No,Within a week,yes,yes,yes,yes,15-25,Male,undergraduate,"Below 2,00,000",Unknown,Unknown,Unknown /No Response,,Unaware,No response,0,0,1,1,1,0,0,0,12,1.9
Physician,Yes,Immediately,yes,yes,yes,yes,60+,Male,high school,"Above 8,00,000",Family/Friend,Immediate,Hospital /Medical Centre,Paralysis / Weakness,Other,Seek Medical Help,0,1,1,1,1,0,0,3,32,5.08
Orthopedic,Yes,Immediately,yes,yes,yes,yes,60+,Female,graduate,"6,00,001 - 8,00,000",Family/Friend,Immediate,Other,"Speech / Confusion, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",Seek Medical Help,0,1,1,1,1,0,0,0,17,2.7
Physician,No,Immediately,no,no,no,no,41-60,Female,graduate,"4,00,001 - 6,00,000",Family/Friend,Unknown,Doctor /Specialist,Unaware,Unaware,No response,0,0,0,0,0,2,0,0,4,0.63
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Male,high school,Not Specified,Family/Friend,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",Avoid Food / Drink / Sleep,0,1,1,1,1,0,0,3,32,5.08
Physician,No,Within a day,yes,yes,yes,yes,60+,Female,high school,"6,00,001 - 8,00,000",Family/Friend,Immediate,Doctor /Specialist,,Unaware,Seek Medical Help,0,0,1,1,1,0,0,0,12,1.9
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,graduate,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,Yes,Immediately,no,no,no,no,60+,Male,high school,Not Specified,Unknown,after few days (2-3days or week),Doctor /Specialist,Dizziness,Diabetes / Obesity,No response,0,1,0,0,0,2,0,0,9,1.43
Neurologist,Yes,Within a day,yes,yes,yes,yes,41-60,Female,other,Not Specified,Family/Friend,Immediate,Hospital /Medical Centre,Speech / Confusion,"Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender",Seek Medical Help,4,1,1,1,1,0,0,3,44,6.98
Neurologist,No,Immediately,yes,yes,yes,yes,60+,Male,high school,Not Specified,Family/Friend,after few days (2-3days or week),Unknown /No Response,Unaware,Unaware,other,4,0,1,1,1,0,0,0,24,3.81
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,Not Specified,Doctor,Unknown,Doctor /Specialist,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender",Keep the Person Calm,0,1,1,1,1,0,0,0,17,2.7
Neurologist,Yes,Within a day,yes,yes,yes,yes,60+,Female,high school,"4,00,001 - 6,00,000",Doctor,After Checkup  or medical tests,Hospital /Medical Centre,"Paralysis / Weakness, Dizziness",Diabetes / Obesity,Seek Medical Help,4,1,1,1,1,0,0,3,44,6.98
Orthopedic,No,Within a week,maybe,maybe,maybe,maybe,26-40,Female,high school,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,1,0,0,2,0.32
Physician,Yes,Within a day,yes,yes,yes,maybe,15-25,Female,undergraduate,Not Specified,Unknown,Unknown,Unknown /No Response,,Unaware,No response,0,1,1,1,0,0,0,0,15,2.38
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,high school,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,Yes,Immediately,yes,yes,yes,yes,60+,Male,high school,Not Specified,Doctor,After Checkup  or medical tests,Doctor /Specialist,"Speech / Confusion, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender",Seek Medical Help,0,1,1,1,1,0,0,0,17,2.7
Neurologist,Yes,Immediately,yes,yes,yes,yes,41-60,Male,high school,Not Specified,Family/Friend,after few days (2-3days or week),Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender",No response,4,1,1,1,1,0,0,0,29,4.6
Physician,No,Within a day,yes,yes,yes,yes,60+,Female,high school,Not Specified,Family/Friend,Unaware,Unknown /No Response,Unaware,Unaware,Unaware / No Idea,0,0,1,1,1,0,0,0,12,1.9
Orthopedic,No,Immediately,maybe,maybe,maybe,maybe,26-40,Female,high school,Not Specified,Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,1,0,0,2,0.32
Physician,Yes,Immediately,yes,yes,yes,yes,60+,Female,high school,Not Specified,Hospital,Immediate,Hospital /Medical Centre,Paralysis / Weakness,Other,Seek Medical Help,0,1,1,1,1,0,0,3,32,5.08
Physician,No,Immediately,yes,yes,yes,yes,60+,Male,high school,Not Specified,Family/Friend,After Checkup  or medical tests,Hospital /Medical Centre,Unaware,Unaware,No response,0,0,1,1,1,0,0,3,27,4.29
Physician,Yes,Within a week,no,no,no,maybe,15-25,Male,other,"Below 2,00,000",Unknown,Unknown,Unknown /No Response,,Unaware,No response,0,1,0,0,0,2,0,0,9,1.43
Physician,Yes,Within a day,yes,yes,yes,yes,26-40,Male,high school,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,Yes,Within a day,yes,yes,yes,yes,60+,Male,high school,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,No,Immediately,yes,yes,yes,yes,41-60,Female,graduate,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,1,1,1,0,0,0,12,1.9
Physician,Maybe,Immediately,yes,yes,yes,yes,15-25,Male,speciality,"4,00,001 - 6,00,000",Unknown,Unknown,Unknown /No Response,"Paralysis / Weakness, Vision Problems",Unaware,No response,0,0,1,1,1,0,0,0,12,1.9
Orthopedic,No,Immediately,yes,yes,yes,yes,41-60,Female,high school,Not Specified,Unknown,Unknown,Unknown /No Response,,Unaware,No response,0,0,1,1,1,0,0,0,12,1.9
Physician,No,Within a week,maybe,maybe,maybe,no,26-40,Female,high school,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,1,0,0,2,0.32
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Female,high school,"4,00,001 - 6,00,000",Family/Friend,after few days (2-3days or week),Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender",Keep the Person Calm,0,1,1,1,1,0,0,0,17,2.7
Physician,Yes,Immediately,yes,yes,yes,maybe,15-25,Male,undergraduate,"Below 2,00,000",Unknown,Unknown,Unknown /No Response,Speech / Confusion,Unaware,No response,0,1,1,1,0,0,0,0,15,2.38
Physician,No,Within a week,maybe,no,no,maybe,26-40,Female,high school,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response,0,0,0,0,0,2,0,3,19,3.02
Physician,Yes,Immediately,yes,yes,maybe,maybe,15-25,Female,speciality,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,"Speech / Confusion, Paralysis / Weakness, Vision Problems",Unaware,No response,0,1,1,1,0,1,0,0,17,2.7
Neurologist,Maybe,Immediately,maybe,no,yes,yes,15-25,Male,graduate,"Below 2,00,000",Unknown,Unknown,Doctor /Specialist,Headache,Blood pressure or Heart problem,No response,4,0,0,0,1,0,0,0,14,2.22
Neurologist,Maybe,Within a week,yes,yes,maybe,maybe,15-25,Female,graduate,"6,00,001 - 8,00,000",Family/Friend,Immediate,Hospital /Medical Centre,,Unaware,No response,4,0,1,1,0,1,0,3,39,6.19
Neurologist,No,Immediately,no,yes,yes,maybe,15-25,Female,graduate,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,,Unaware,No response,4,0,0,1,0,0,0,0,17,2.7
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Male,high school,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,graduate,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,"2,00,001 - 4,00,000",Family/Friend,Immediate,Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",Call Emergency Services,0,1,1,1,1,0,0,0,17,2.7
Neurologist,No,Immediately,yes,yes,yes,yes,41-60,Female,other,Not Specified,Unknown,Unknown,Unknown /No Response,,Unaware,No response,4,0,1,1,1,0,0,0,24,3.81
Neurologist,Yes,Within a day,yes,yes,yes,yes,41-60,Female,high school,Not Specified,Family/Friend,Immediate,Emergency Services,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender",Seek Medical Help,4,1,1,1,1,0,0,0,29,4.6
Neurologist,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,Not Specified,Family/Friend,Immediate,Hospital /Medical Centre,Paralysis / Weakness,Other,Seek Medical Help,4,1,1,1,1,0,0,3,44,6.98
Physician,Yes,Immediately,yes,yes,no,yes,15-25,Female,graduate,"4,00,001 - 6,00,000",Unknown,Unknown,Unknown /No Response,"Paralysis / Weakness, Dizziness",Unaware,No response,0,1,1,1,1,2,0,0,21,3.33
Neurologist,No,Within a day,no,no,no,no,15-25,Female,graduate,"Below 2,00,000",Unknown,Unknown,Unknown /No Response,,Unaware,No response,4,0,0,0,0,2,0,0,16,2.54
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,Not Specified,Family/Friend,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",Seek Medical Help,0,1,1,1,1,0,0,3,32,5.08
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,high school,"2,00,001 - 4,00,000",Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,No,Within a month,no,no,no,no,15-25,Female,graduate,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,,Other,No response,0,0,0,0,0,2,0,0,4,0.63
Physician,Yes,Within a day,yes,yes,yes,yes,26-40,Female,high school,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Neurologist,Yes,Immediately,yes,yes,yes,yes,26-40,Female,graduate,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,4,1,1,1,1,0,0,3,44,6.98
Physician,Yes,Immediately,yes,yes,yes,yes,60+,Female,high school,"6,00,001 - 8,00,000",Emergency Services,Immediate,Emergency Services,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",other,0,1,1,1,1,0,0,0,17,2.7
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Male,graduate,"4,00,001 - 6,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,graduate,"2,00,001 - 4,00,000",Unknown,Immediate,Hospital /Medical Centre,Dizziness,Diabetes / Obesity,No response,0,1,1,1,1,0,0,3,32,5.08
Neurologist,No,Immediately,yes,yes,yes,yes,60+,Female,high school,"6,00,001 - 8,00,000",Family/Friend,Unaware,Hospital /Medical Centre,Unaware,Unaware,Unaware / No Idea,4,0,1,1,1,0,0,3,39,6.19
Physician,No,Within a week,no,no,no,no,15-25,Female,undergraduate,Not Specified,Unknown,Unknown,Unknown /No Response,,Unaware,No response,0,0,0,0,0,2,0,0,4,0.63
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,yes,yes,yes,yes,41-60,Male,graduate,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,Dizziness,Diabetes / Obesity,Seek Medical Help,2,1,1,1,1,0,0,3,38,6.03
Physician,No,Immediately,yes,yes,yes,yes,41-60,Female,graduate,"4,00,001 - 6,00,000",Family/Friend,Unaware,Hospital /Medical Centre,Unaware,Unaware,Seek Medical Help,0,0,1,1,1,0,0,3,27,4.29
"ENT (Ear, Nose, and Throat specialist)",No,I would not consult a specialist,no,no,no,maybe,15-25,Female,graduate,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,,Unaware,No response,2,0,0,0,0,2,0,0,10,1.59
Neurologist,No,Immediately,yes,yes,yes,yes,60+,Female,high school,"Above 8,00,000",Unknown,Unknown,Hospital /Medical Centre,Unaware,Unaware,No response,4,0,1,1,1,0,0,3,39,6.19
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,maybe,no,maybe,no,26-40,Female,graduate,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,2,0,0,0,0,1,0,0,8,1.27
Physician,Yes,Immediately,yes,yes,yes,yes,60+,Male,high school,Not Specified,Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",Call Emergency Services,0,1,1,1,1,0,0,3,32,5.08
Neurologist,No,Within a day,yes,yes,yes,yes,60+,Female,high school,Not Specified,Emergency Services,after few days (2-3days or week),Hospital /Medical Centre,Unaware,Unaware,No response,4,0,1,1,1,0,0,3,39,6.19
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,high school,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Neurologist,No,Within a day,no,yes,maybe,yes,26-40,Male,high school,"4,00,001 - 6,00,000",Doctor,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response,4,0,0,1,1,1,0,3,36,5.71
Physician,Yes,Within a day,no,no,no,no,15-25,Female,speciality,"Below 2,00,000",Unknown,Unknown,Unknown /No Response,Dizziness,Unaware,No response,0,1,0,0,0,2,0,0,9,1.43
Physician,Yes,Immediately,no,no,no,no,15-25,Female,graduate,"4,00,001 - 6,00,000",Unknown,Unknown,Unknown /No Response,Paralysis / Weakness,Unaware,No response,0,1,0,0,0,2,0,0,9,1.43
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Male,high school,"4,00,001 - 6,00,000",Doctor,After Checkup  or medical tests,Doctor /Specialist,"Speech / Confusion, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender",Seek Medical Help,0,1,1,1,1,0,0,0,17,2.7
