"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms,score_specialist,score_know_stroke,score_action_first_symptom,score_confusion,score_numbness,score_nosebleed,score_vision,score_first_contact,score_urgency,score_location,score_symptoms,score_risk,score_advice,score_symptoms_combined,total_raw_score,symptom_awareness_score,awareness_score
Neurologist,Yes,Other,maybe,yes,yes,yes,41-60,Male,other,"above 8,00,000",emergency_services,no_response,Unknown /No Response,no_response,other,seek_medical_help,4,1,0,0,1,0,1,4,0,0,0,0,0,7,44,2.8,3.79
Neurologist,No,Immediately,yes,maybe,maybe,maybe,41-60,Female,other,"6,00,001 - 8,00,000",hospital,immediately,hospital_or_medical_centre,no_response,Unaware,other,4,0,2,1,0,1,0,3,2,3,0,0,0,7,65,2.8,5.6
Neurologist,Yes,Within a week,yes,yes,yes,yes,41-60,Male,other,"above 8,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,1,0,1,1,0,1,0,0,0,0,0,0,12,29,4.8,2.5
Neurologist,Yes,Immediately,maybe,maybe,maybe,maybe,41-60,Female,speciality,"4,00,001 - 6,00,000",hospital,immediately,other,headache,other,seek_medical_help,4,1,2,0,0,1,0,3,2,0,0,0,0,2,50,0.8,4.31
Neurologist,Maybe,Immediately,yes,yes,yes,yes,26-40,Female,speciality,"4,00,001 - 6,00,000",doctor,after_few_days_(2-3days_or_week),doctor_or_specialist,"paralysis_or_weakness,vision_problems",Unaware,other,4,0,2,1,1,0,1,0,0,0,2,0,0,18,36,7.2,3.1
Neurologist,Yes,Immediately,yes,yes,maybe,maybe,26-40,Female,high school,"6,00,001 - 8,00,000",emergency_services,no_response,emergency_services,speech_or_confusion,"blood_pressure_or_heart_problem, diabetes_or_obesity",other,4,1,2,1,1,1,0,4,0,4,1,2,0,15,84,6.0,7.24
Neurologist,No,Other,maybe,maybe,maybe,maybe,15-25,Female,graduate,"below 2,00,000",unaware,unaware,emergency_services,no_response,Unaware,other,4,0,0,0,0,1,0,0,0,4,0,0,0,2,34,0.8,2.93
Physician,No,Immediately,maybe,yes,maybe,maybe,15-25,Female,undergraduate,"below 2,00,000",doctor,immediately,Unknown /No Response,no_response,Unaware,no_response,2,0,2,0,1,1,0,0,2,0,0,0,0,7,29,2.8,2.5
Physician,Maybe,Immediately,maybe,maybe,yes,maybe,15-25,Female,undergraduate,not_specified,no_response,no_response,Unknown /No Response,"paralysis_or_weakness,headache",Unaware,no_response,2,0,2,0,0,0,0,0,0,0,1,0,0,3,15,1.2,1.29
Physician,No,Immediately,no,no,no,no,15-25,Female,other,"below 2,00,000",doctor,unaware,doctor_or_specialist,no_response,other,other,2,0,2,0,0,2,0,0,0,0,0,0,0,4,16,1.6,1.38
Neurologist,No,Within a week,yes,yes,yes,yes,15-25,Male,speciality,"4,00,001 - 6,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,0,0,1,1,0,1,0,0,0,0,0,0,12,24,4.8,2.07
Neurologist,Maybe,Immediately,maybe,yes,yes,maybe,26-40,Male,graduate,"above 8,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,0,2,0,1,0,0,0,0,0,0,0,0,5,23,2.0,1.98
Neurologist,Yes,Within a day,yes,yes,yes,maybe,15-25,Female,undergraduate,"below 2,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,1,1,1,1,0,0,0,0,0,0,0,0,10,30,4.0,2.59
Neurologist,Yes,Within a week,no,no,no,maybe,15-25,Male,speciality,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,1,0,0,0,2,0,0,0,0,0,0,0,4,21,1.6,1.81
"ENT (Ear, Nose, and Throat specialist)",Maybe,Immediately,yes,yes,yes,yes,15-25,Female,graduate,"below 2,00,000",no_response,no_response,Unknown /No Response,"paralysis_or_weakness,vision_problems",Unaware,no_response,0,0,2,1,1,0,1,0,0,0,2,0,0,18,24,7.2,2.07
Physician,Yes,Immediately,yes,yes,yes,maybe,15-25,Male,graduate,"6,00,001 - 8,00,000",no_response,no_response,Unknown /No Response,speech_or_confusion,Unaware,no_response,2,1,2,1,1,0,0,0,0,0,1,0,0,13,30,5.2,2.59
Physician,Yes,Immediately,yes,yes,maybe,maybe,15-25,Female,graduate,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,"speech_or_confusion,paralysis_or_weakness,vision_problems",Unaware,no_response,2,1,2,1,1,1,0,0,0,0,3,0,0,21,38,8.4,3.28
Neurologist,Maybe,Immediately,maybe,no,yes,yes,15-25,Female,graduate,"4,00,001 - 6,00,000",no_response,after_few_days_(2-3days_or_week),doctor_or_specialist,headache,blood_pressure_or_heart_problem,no_response,4,0,2,0,0,0,1,0,0,0,0,1,0,2,23,0.8,1.98
Neurologist,Maybe,Within a week,yes,yes,maybe,maybe,15-25,Female,graduate,"below 2,00,000",family/friend,immediately,hospital_or_medical_centre,no_response,Unaware,no_response,4,0,0,1,1,1,0,0,2,3,0,0,0,12,49,4.8,4.22
Neurologist,No,Immediately,no,yes,yes,maybe,15-25,Male,graduate,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,0,2,0,1,0,0,0,0,0,0,0,0,5,23,2.0,1.98
Neurologist,Yes,Immediately,yes,yes,no,yes,15-25,Female,undergraduate,not_specified,no_response,no_response,Unknown /No Response,"paralysis_or_weakness,dizziness",Unaware,no_response,4,1,2,1,1,2,1,0,0,0,1,0,0,19,42,7.6,3.62
Physician,No,Within a day,no,no,no,no,15-25,Male,graduate,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,1,0,0,2,0,0,0,0,0,0,0,4,13,1.6,1.12
Neurologist,No,Within a month,no,no,no,no,15-25,Female,speciality,"below 2,00,000",no_response,no_response,Unknown /No Response,no_response,other,no_response,4,0,0,0,0,2,0,0,0,0,0,0,0,4,16,1.6,1.38
Physician,No,Within a week,no,no,no,no,15-25,Male,graduate,"4,00,001 - 6,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,0,0,0,2,0,0,0,0,0,0,0,4,10,1.6,0.86
Physician,No,I would not consult a specialist,no,no,no,maybe,15-25,Female,graduate,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,0,0,0,2,0,0,0,0,0,0,0,4,10,1.6,0.86
Physician,Yes,Within a day,no,no,no,no,15-25,Female,graduate,"above 8,00,000",no_response,no_response,Unknown /No Response,dizziness,Unaware,no_response,2,1,1,0,0,2,0,0,0,0,0,0,0,4,18,1.6,1.55
Physician,Yes,Immediately,no,no,no,no,15-25,Male,graduate,"4,00,001 - 6,00,000",no_response,no_response,Unknown /No Response,paralysis_or_weakness,Unaware,no_response,2,1,2,0,0,2,0,0,0,0,1,0,0,7,24,2.8,2.07
Neurologist,Maybe,Within a month,no,no,no,no,15-25,Male,other,"2,00,001 - 4,00,000",unaware,unaware,Unknown /No Response,no_response,Unaware,unaware,4,0,0,0,0,2,0,0,0,0,0,0,0,4,16,1.6,1.38
Physician,No,Immediately,maybe,maybe,maybe,maybe,26-40,Female,graduate,"below 2,00,000",family/friend,unaware,Unknown /No Response,no_response,other,other,2,0,2,0,0,1,0,0,0,0,0,0,0,2,14,0.8,1.21
Physician,No,Other,no,no,no,no,15-25,Male,other,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,0,0,0,2,0,0,0,0,0,0,0,4,10,1.6,0.86
Neurologist,Yes,Within a week,maybe,maybe,no,yes,26-40,Female,graduate,not_specified,no_response,no_response,doctor_or_specialist,paralysis_or_weakness,other,no_response,4,1,0,0,0,2,1,0,0,0,1,0,0,9,26,3.6,2.24
Physician,Yes,Within a day,maybe,maybe,no,maybe,60+,Male,high school,"4,00,001 - 6,00,000",unaware,after_few_days_(2-3days_or_week),doctor_or_specialist,"paralysis_or_weakness,vision_problems",other,no_response,2,1,1,0,0,2,0,0,0,0,2,0,0,10,24,4.0,2.07
Physician,Yes,Immediately,yes,no,no,yes,26-40,Female,graduate,"below 2,00,000",family/friend,no_response,doctor_or_specialist,no_response,other,seek_medical_help,2,1,2,1,0,2,1,0,0,0,0,0,0,11,28,4.4,2.41
Neurologist,Yes,Immediately,maybe,maybe,no,maybe,15-25,Female,graduate,"below 2,00,000",doctor,immediately,doctor_or_specialist,paralysis_or_weakness,other,no_response,4,1,2,0,0,2,0,0,2,0,1,0,0,7,40,2.8,3.45
Physician,No,Within a week,maybe,maybe,maybe,no,26-40,Female,graduate,"below 2,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,0,0,0,1,0,0,0,0,0,0,0,2,8,0.8,0.69
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,graduate,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,"speech_or_confusion,paralysis_or_weakness",Unaware,no_response,2,1,2,1,1,0,1,0,0,0,2,0,0,18,35,7.2,3.02
Physician,Yes,Within a week,yes,yes,yes,yes,15-25,Female,graduate,"below 2,00,000",emergency_services,immediately,hospital_or_medical_centre,paralysis_or_weakness,other,seek_medical_help,2,1,0,1,1,0,1,4,2,3,1,0,0,15,71,6.0,6.12
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a month,yes,yes,no,yes,15-25,Male,undergraduate,not_specified,no_response,no_response,hospital_or_medical_centre,"paralysis_or_weakness,vision_problems",other,no_response,0,1,0,1,1,2,1,0,0,3,2,0,0,22,42,8.8,3.62
Physician,Maybe,Within a day,maybe,yes,maybe,maybe,15-25,Male,graduate,not_specified,no_response,no_response,Unknown /No Response,headache,Unaware,no_response,2,0,1,0,1,1,0,0,0,0,0,0,0,7,16,2.8,1.38
"ENT (Ear, Nose, and Throat specialist)",No,Other,maybe,maybe,maybe,maybe,15-25,Male,graduate,"below 2,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0.8,0.17
Neurologist,No,I would not consult a specialist,no,no,no,no,15-25,Female,undergraduate,"below 2,00,000",no_response,no_response,Unknown /No Response,headache,Unaware,no_response,4,0,0,0,0,2,0,0,0,0,0,0,0,4,16,1.6,1.38
"ENT (Ear, Nose, and Throat specialist)",No,Other,no,no,no,no,15-25,Male,graduate,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,0,2,0,0,0,0,0,0,0,4,4,1.6,0.34
Physician,No,Immediately,yes,yes,no,yes,15-25,Male,high school,"below 2,00,000",no_response,no_response,Unknown /No Response,headache,Unaware,no_response,2,0,2,1,1,2,1,0,0,0,0,0,0,16,28,6.4,2.41
Neurologist,Yes,Immediately,yes,yes,no,yes,15-25,Male,speciality,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,headache,Unaware,no_response,4,1,2,1,1,2,1,0,0,0,0,0,0,16,39,6.4,3.36
